show_id,listed_in,Animation,Family,Comedy,Musical,Docuseries,Historical,Music,Biographical,Documentary,Action-Adventure,Superhero,Reality,Survival,Animals & Nature,Kids,Coming of Age,Drama,Fantasy,Lifestyle,Movies,Fantasy,Concert Film,Crime,Sports,Anthology,Medical,Variety,Spy/Espionage,Buddy,Parody,Game Show / Competition,Romance,Anime,Romantic Comedy,Thriller,Police/Cop,Talk Show,Western,Dance,Series,Mystery,Soap Opera / Melodrama,Disaster,Travel
d-s141,"Comedy, Drama",,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s142,"Animals & Nature, Docuseries, Family",,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s143,"Animation, Anthology, Family",1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
d-s144,Documentary,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s145,"Comedy, Family",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s146,"Animation, Buddy, Comedy",1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
d-s147,"Animals & Nature, Docuseries, Family",,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s148,"Animation, Buddy, Kids",1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
d-s149,"Animation, Kids",1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s150,"Animation, Kids",1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s151,Talk Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
d-s152,"Animation, Comedy, Family",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s153,"Animals & Nature, Biographical, Documentary",,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s156,Documentary,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s157,"Action-Adventure, Family, Fantasy",,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s159,"Docuseries, Family",,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s160,"Action-Adventure, Animation, Anime",1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
d-s161,"Action-Adventure, Animation, Kids",1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s163,"Action-Adventure, Buddy, Comedy",,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
d-s165,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s166,"Animals & Nature, Docuseries, Reality",,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s167,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s169,"Animals & Nature, Drama, Family",,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s170,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s171,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s172,"Comedy, Coming of Age",,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s173,"Animals & Nature, Coming of Age, Drama",,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s174,"Animation, Fantasy",1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s175,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s176,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s177,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s178,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s179,"Animals & Nature, Documentary",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s181,"Action-Adventure, Docuseries, Reality",,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s182,"Animation, Kids, Sports",1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
d-s183,"Animation, Comedy, Family",1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s184,"Animation, Comedy, Fantasy",1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s185,"Comedy, Family, Fantasy",,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s186,"Comedy, Coming of Age, Family",,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s187,"Comedy, Sports",,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
d-s188,"Action-Adventure, Comedy, Coming of Age",,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s189,"Action-Adventure, Reality, Survival",,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s190,"Action-Adventure, Family",,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s191,"Biographical, Documentary",,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s192,"Animation, Kids, Western",1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
d-s193,"Comedy, Family",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s194,"Animals & Nature, Docuseries, Family",,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s195,"Animation, Buddy, Coming of Age",1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
d-s196,"Action-Adventure, Animation, Fantasy",1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s197,"Animation, Kids",1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s198,"Action-Adventure, Animation, Family",1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s199,"Biographical, Coming of Age, Family",,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s200,"Action-Adventure, Comedy, Spy/Espionage",,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
d-s201,"Animation, Anthology, Family",1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
d-s202,"Action-Adventure, Fantasy, Science Fiction",,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
d-s203,"Action-Adventure, Docuseries, Lifestyle",,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
d-s204,"Animation, Kids",1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s205,"Action-Adventure, Animation, Family",1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s206,"Action-Adventure, Drama, Historical",,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s207,"Animation, Dance, Family",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
d-s208,Drama,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s209,"Animation, Kids",1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s210,"Coming of Age, Drama",,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s211,"Comedy, Coming of Age, Family",,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s212,"Coming of Age, Fantasy",,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s213,"Animals & Nature, Docuseries",,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s214,Drama,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s215,Fantasy,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s216,Drama,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s217,"Action-Adventure, Animals & Nature, Docuseries",,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s218,"Action-Adventure, Animation, Comedy",1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-s219,"Animation, Superhero",1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
