show_id,title,recommended_animes
n-s43,Jaws 2,"['Shijou Saikyou no Deshi Kenichi', 'Aa! Megami-sama!: Sorezore no Tsubasa Specials', 'Kidou Keisatsu Patlabor the Movie', 'Akazukin Chacha OVA', 'Jin-Rou']"
n-s44,Jaws 3,"['Kareshi Kanojo no Jijou', 'Touch: Cross Road - Kaze no Yukue', 'Kidou Keisatsu Patlabor the Movie', 'Shijou Saikyou no Deshi Kenichi', 'Fushigi Yuugi']"
n-s45,Jaws: The Revenge,"['Potemayo Specials', 'Koukaku Kidoutai: Stand Alone Complex - The Laughing Man', 'Kidou Keisatsu Patlabor the Movie', 'Nasu: Andalusia no Natsu', 'Shijou Saikyou no Deshi Kenichi']"
n-s46,My Heroes Were Cowboys,"['Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai', 'Touch: Cross Road - Kaze no Yukue', 'Future GPX Cyber Formula Zero', ""Doraemon: Nobita's the Night Before a Wedding"", 'Fullmetal Alchemist: Premium Collection']"
n-s47,Safe House,"['Street Fighter II Movie', 'Suzuka', 'Saint Seiya: Tenkai-hen Josou - Overture', 'Ouran Koukou Host Club', 'Gyakkyou Burai Kaiji: Ultimate Survivor']"
n-s48,The Smart Money Woman,"['Utawarerumono Specials', 'Sousei no Aquarion', 'Lodoss-tou Senki', 'Aria The Animation', 'Grappler Baki (TV)']"
n-s49,Training Day,"['Taiho Shichau zo Special', 'Kaleido Star: Aratanaru Tsubasa - Extra Stage', 'Lupin III: Episode 0 ""First Contact""', 'Lupin III: Alcatraz Connection', 'Fullmetal Alchemist']"
n-s50,Castle and Castle,"['Lodoss-tou Senki', 'Kure-nai', 'Heppoko Jikken Animation Excel♥Saga', 'Hayate no Gotoku!', 'Legend of Basara']"
n-s51,Dharmakshetra,"['Gake no Ue no Ponyo', 'Great Teacher Onizuka', ""Sketchbook: Full Color's"", 'InuYasha Movie 2: Kagami no Naka no Mugenjo', 'Yuugo: Koushounin']"
n-s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,"['Slayers: The Motion Picture', 'Bomberman Jetters', 'El Hazard: The Magnificent World', 'Dirty Pair', 'Love Hina']"
n-s53,InuYasha the Movie 3: Swords of an Honorable Ruler,"['Doraemon: 2112-nen Doraemon Tanjou', 'Toushou Daimos', 'Kamichu!', 'UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku', 'Ayakashi: Japanese Classic Horror']"
n-s54,InuYasha the Movie 4: Fire on the Mystic Island,"['El Hazard: The Magnificent World', 'Kino no Tabi: The Beautiful World - Tou no Kuni', 'Ojamajo Doremi Dokkaan!', 'Seto no Hanayome', 'Oh! Edo Rocket']"
n-s55,InuYasha the Movie: Affections Touching Across Time,"['Lupin III: Nusumareta Lupin', 'Kamichu!', 'Figure 17: Tsubasa & Hikaru', 'Basilisk: Kouga Ninpou Chou', 'Fullmetal Alchemist: Reflections']"
n-s56,Nailed It,"['Stratos 4 Advance Kanketsu-hen', 'School Rumble Ni Gakki', 'Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!', 'Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen', 'Ace wo Nerae!']"
n-s57,Naruto Shippuden the Movie: Blood Prison,"['Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru', 'Hokuto no Ken: Yuria-den', 'Detective Conan Movie 09: Strategy Above the Depths', 'Kenran Butou Sai: The Mars Daybreak', 'Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu']"
n-s58,Naruto Shippûden the Movie: Bonds,"['Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu', 'Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru', 'Kyattou Ninden Teyandee', 'Future GPX Cyber Formula 11', 'Sentou Mecha Xabungle']"
n-s59,Naruto Shippûden the Movie: The Will of Fire,"['Hokuto no Ken: Yuria-den', 'Yuugo: Koushounin', 'UFO Princess Valkyrie 3: Seiresetsu no Hanayome', 'Mister Ajikko', 'Doraemon Movie 09: Nobita no Parallel Saiyuuki']"
n-s60,Naruto Shippuden: The Movie,"['Hokuto no Ken: Yuria-den', 'Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo', 'Mobile Suit Zeta Gundam: A New Translation II - Lovers', 'Yuugo: Koushounin', 'Kamichu!']"
n-s61,Naruto Shippuden: The Movie: The Lost Tower,"['Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu', 'Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru', 'Kekkaishi (TV)', 'Koukaku Kidoutai 2: Innocence', 'Hachimitsu to Clover II']"
n-s62,Naruto the Movie 2: Legend of the Stone of Gelel,"['Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru', 'Hokuto no Ken: Yuria-den', 'Lupin III', 'Hiatari Ryoukou!', 'Future GPX Cyber Formula 11']"
n-s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"['Detective Conan Movie 09: Strategy Above the Depths', 'Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru', 'Kaibutsu Oujo', 'Shounen Onmyouji', 'Di Gi Charat Nyo']"
n-s64,Naruto the Movie: Ninja Clash in the Land of Snow,"['Detective Conan Movie 09: Strategy Above the Depths', 'Gantz', 'Top wo Nerae 2! Diebuster', 'Sentou Mecha Xabungle', 'Digimon X-Evolution']"
n-s65,Nightbooks,"['Doraemon Movie 25: Nobita no Wan Nyan Jikuuden', 'Pale Cocoon', 'Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan', 'Kirarin☆Revolution', 'Trigun']"
n-s66,Numberblocks,"['Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen', 'Tenchi Muyou! in Love', 'Clannad Movie', 'Detective Conan Movie 11: Jolly Roger in the Deep Azure', 'Kikou Ryohei Mellowlink']"
n-s67,Raja Rasoi Aur Anya Kahaniyan,"['Black Cat', 'Stratos 4 Advance Kanketsu-hen', 'Air', 'Hunter x Hunter', 'Yu☆Gi☆Oh!']"
n-s68,Saved by the Bell,"['Macross Plus Movie Edition', 'Hime-chan no Ribbon', 'Stop!! Hibari-kun!', 'Majin Tantei Nougami Neuro', 'Sakigake!! Cromartie Koukou']"
n-s69,Schumacher,"['Uchuu no Kishi Tekkaman Blade OVA: Twin Blood', 'Saiyuuki Reload Gunlock', 'Master Keaton OVA', 'Ima, Soko ni Iru Boku', 'Doraemon Movie 17: Nobita to Ginga Express']"
n-s70,Stories by Rabindranath Tagore,"['Dragon Ball', 'One Piece: Straw Hat Theater', 'Tokimeki Tonight', 'RD Sennou Chousashitsu', 'Macross Plus']"
n-s71,Too Hot To Handle: Latino,"['Junkers Come Here', 'Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen', 'Kiba', 'Kikoushi Enma', 'Doraemon Movie 17: Nobita to Ginga Express']"
n-s72,A StoryBots Space Adventure,"['Busou Renkin', 'Gakuen Alice', 'Eikoku Koi Monogatari Emma: Molders-hen', 'Taiho Shichau zo The Movie', 'Vandread: The Second Stage']"
n-s73,Jack Whitehall: Travels with My Father,"['Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!', 'Galaxy Angel 3', 'Touch: Cross Road - Kaze no Yukue', 'Gakuen Alice', 'Galaxy Angel 3 Specials']"
n-s74,King of Boys,"['Starship Operators', 'Aria The Animation', 'Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?', 'Slayers Return', 'Soukyuu no Fafner: Dead Aggressor']"
n-s75,The World's Most Amazing Vacation Rentals,"['Gunslinger Girl', 'Glass no Kamen', 'Ranma ½ OVA', 'Cosmic Baton Girl Comet-san☆', 'Mobile Suit Gundam Wing: Endless Waltz']"
n-s76,You vs. Wild: Out Cold,"['Suzuka', 'Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!', 'Touch: Cross Road - Kaze no Yukue', 'Ashita no Joe 2', 'Zoids Shinseiki/Zero']"
n-s77,Yowamushi Pedal,"['Photon', 'Yami no Matsuei', 'Saint Seiya: Meiou Hades Juuni Kyuu-hen', 'Shigofumi', 'Glass no Kamen (2005)']"
n-s78,Little Singham - Black Shadow,"['Kamichu!', 'Black Jack', 'Digimon Tamers: Boukensha-tachi no Tatakai', 'Noein: Mou Hitori no Kimi e', 'Mushrambo']"
n-s79,Tughlaq Durbar,"['Chicchana Yukitsukai Sugar Specials', 'Taiho Shichau zo Special', 'Legend of Basara', 'Slayers Next', 'Lupin III: Episode 0 ""First Contact""']"
n-s80,Tughlaq Durbar (Telugu),"['Chicchana Yukitsukai Sugar Specials', 'Taiho Shichau zo Special', 'Legend of Basara', 'Slayers Next', 'Lupin III: Episode 0 ""First Contact""']"
n-s81,Firedrake the Silver Dragon,"['Anime Sanjuushi', 'Captain Tsubasa J', 'Onegai☆Twins: Natsu wa Owaranai', 'Unico: Mahou no Shima e', 'Sousei no Aquarion OVA']"
n-s82,Kate,"['Suzuka', 'Princess Princess', 'Gaiking: Legend of Daiku-Maryu', 'Chibi Maruko-chan Movie', 'Street Fighter II Movie']"
n-s83,Lucifer,"['Lupin III: Nusumareta Lupin', 'Slayers Return', 'Peace Maker Kurogane', 'Koukaku Kidoutai: Stand Alone Complex 2nd GIG', 'Fuujin Monogatari']"
n-s84,Metal Shop Masters,"['Ace wo Nerae!', 'Fantastic Children', 'Kidou Tenshi Angelic Layer', 'Mazinkaiser', 'Ochame na Futago: Claire Gakuin Monogatari']"
n-s85,Omo Ghetto: the Saga,"['D.C.II S.S.: Da Capo II Second Season', 'Bamboo Blade', 'Aria The Origination', 'Honoo no Toukyuuji: Dodge Danpei', 'Usavich II']"
n-s86,Pokémon Master Journeys: The Series,"['Black Jack: Futari no Kuroi Isha', 'Jin-Rou', 'Elf wo Karu Mono-tachi II', 'Zoids', 'Urusei Yatsura Movie 5: Kanketsu-hen']"
n-s87,Prey,"['Shin Getter Robo tai Neo Getter Robo', 'Usavich II', 'Fushigi Yuugi', 'Shippuu! Iron Leaguer', 'Doraemon Movie 04: Nobita no Kaitei Kiganjou']"
n-s88,Titipo Titipo,"['Senkaiden Houshin Engi', 'Biohazard: Degeneration', 'Takarajima', 'Jungle no Ouja Taa-chan', 'Digimon Adventure']"
n-s89,Blood Brothers: Malcolm X & Muhammad Ali,"['Serial Experiments Lain', 'Lodoss-tou Senki', 'Saiunkoku Monogatari 2nd Season', 'Major S4', 'Shonan Junai Gumi!']"
n-s90,Mighty Raju,"['Vandread: The Second Stage', 'Saiyuuki Reload', 'Mushrambo', 'Digimon Tamers: Boukensha-tachi no Tatakai', 'Hachimitsu to Clover']"
n-s91,Paradise Hills,"['Utawarerumono', 'Maria-sama ga Miteru', 'R.O.D: Read or Die', 'Hungry Heart: Wild Striker', 'Kyouran Kazoku Nikki']"
n-s92,The Women and the Murderer,"['Fushigi Yuugi', 'Code Geass: Hangyaku no Lelouch Recaps', 'Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori', 'HeatGuy J Special', 'Appleseed Saga Ex Machina']"
n-s93,Into the Night,"['Kimagure Orange☆Road: Ano Hi ni Kaeritai', 'Oniisama e...', 'Hunter x Hunter: Greed Island', 'Busou Renkin', 'Akira']"
n-s94,JJ+E,"['Heppoko Jikken Animation Excel♥Saga', 'Hayate no Gotoku!', 'Nanatsu no Umi no Tico', 'Andersen Douwa: Ningyohime', 'Kimi ga Nozomu Eien']"
n-s95,Show Dogs,"['Ginga Tetsudou no Yoru', 'UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku', 'Ouran Koukou Host Club', 'Touch: Cross Road - Kaze no Yukue', 'Ie Naki Ko Remy']"
n-s96,The Circle,"['UFO Robo Grendizer', ""Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation"", 'Simoun', 'Tonari no Totoro', 'Koisuru Tenshi Angelique: Kagayaki no Ashita']"
n-s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"['Nasu: Suitcase no Wataridori', 'Minami-ke Okawari', 'Minky Momo in Yume ni Kakeru Hashi', 'Utawarerumono OVA', 'Ginga Tetsudou Monogatari']"
n-s98,Kid Cosmic,"['Mushrambo', 'Boogiepop wa Warawanai', 'xxxHOLiC Kei', 'Shaman King', 'Yomigaeru Sora: Rescue Wings']"
n-s99,Octonauts: Above & Beyond,"['Daicon Opening Animations', 'Kidou Keisatsu Patlabor the Movie', 'Shijou Saikyou no Deshi Kenichi', 'Kodomo no Omocha (TV)', 'Bokura no']"
n-s100,On the Verge,"['Mahoujin Guruguru', 'Higurashi no Naku Koro ni Special: Nekogoroshi-hen', 'Motto! Ojamajo Doremi: Kaeru Ishi no Himitsu', 'Urusei Yatsura', 'Maria-sama ga Miteru: Haru Specials']"
n-s101,Tobot Galaxy Detectives,"['Taiho Shichau zo The Movie', 'Riding Bean', 'Ginga Eiyuu Densetsu Gaiden (1999)', 'Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori', 'YAT Anshin! Uchuu Ryokou 2']"
n-s102,Untold: Breaking Point,"['Tenkuu no Escaflowne', 'Fullmetal Alchemist', 'Zoids', 'Koisuru Tenshi Angelique: Kagayaki no Ashita', 'Kareshi Kanojo no Jijou']"
n-s103,Countdown: Inspiration4 Mission to Space,"['Lupin III: Alcatraz Connection', 'Masuda Kousuke Gekijou Gag Manga Biyori 2', 'Kimagure Orange☆Road: Ano Hi ni Kaeritai', 'Scrapped Princess', 'Mahou Senshi Louie']"
n-s104,Shadow Parties,"['Minami-ke', 'Shin Getter Robo tai Neo Getter Robo', 'Urusei Yatsura', 'Maria-sama ga Miteru: Haru Specials', 'Lodoss-tou Senki']"
n-s105,Tayo the Little Bus,"['Aa! Megami-sama! (TV)', 'Galaxy Angel 3', 'Tenjou Tenge', 'Detective Conan Movie 09: Strategy Above the Depths', 'Sousei no Aquarion']"
n-s106,Angamaly Diaries,"['Blue Gender', 'Galaxy Angel 3', 'Gaiking: Legend of Daiku-Maryu', 'Mobile Suit Gundam 0083: Stardust Memory', 'Bishoujo Senshi Sailor Moon S']"
n-s107,Bunk'd,"['Bubblegum Crisis Tokyo 2040', 'Bamboo Blade', 'Turn A Gundam', 'Doraemon Movie 04: Nobita no Kaitei Kiganjou', 'Mai-Otome']"
n-s108,A Champion Heart,"['Elf wo Karu Mono-tachi', 'Gegege no Kitarou (2007)', ""Doraemon: Nobita's the Night Before a Wedding"", 'Ranma ½: Yomigaeru Kioku', 'Karas']"
n-s109,Dive Club,"['Kidou Keisatsu Patlabor the Movie', 'Tottoko Hamtarou', 'Macross: Do You Remember Love?', 'Naruto: Shippuuden', 'Boku no Chikyuu wo Mamotte']"
n-s110,La casa de papel,"['Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone', 'Ginga Eiyuu Densetsu Gaiden', 'Tottemo! Luckyman', 'Gaiking: Legend of Daiku-Maryu', 'Code Geass: Hangyaku no Lelouch R2']"
n-s111,Money Heist: From Tokyo to Berlin,"['Seikai no Senki', 'Genshiken 2', 'Koukaku Kidoutai: Stand Alone Complex - Solid State Society - Uchikoma na Hibi', 'Doraemon Movie 12: Nobita no Dorabian Nights', 'Muteki Choujin Zanbot 3']"
n-s112,Sharkdog,"['UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku', 'Shijou Saikyou no Deshi Kenichi', 'Touch: Cross Road - Kaze no Yukue', 'Kareshi Kanojo no Jijou', 'Kidou Keisatsu Patlabor the Movie']"
n-s113,Worth,"['Lodoss-tou Senki', 'Seikai no Senki', 'Bakumatsu Kikansetsu Irohanihoheto', 'Mononoke', 'Planetes']"
n-s114,Afterlife of the Party,"['Shugo Chara!', 'Arashi no Yoru ni', 'The Third: Aoi Hitomi no Shoujo', ""Atashin'chi"", 'Initial D Battle Stage']"
n-s115,Anjaam,"['Akira', 'Lodoss-tou Senki', 'Fushigi Yuugi: Dai Ni Bu', 'Chicchana Yukitsukai Sugar Specials', 'Koukaku Kidoutai: Stand Alone Complex - The Laughing Man']"
n-s116,Bright Star,"['School Rumble: Ichi Gakki Hoshuu', 'Kurenai no Buta', 'Inukami!', 'Urayasu Tekkin Kazoku', 'Witchblade']"
n-s117,Dhanak,"['Rockman.EXE Axess', 'Lodoss-tou Senki: Eiyuu Kishi Den', 'Aa! Megami-sama!: Sorezore no Tsubasa', 'Ueki no Housoku', 'D.C.II S.S.: Da Capo II Second Season']"
n-s118,Final Account,"['Minami-ke', 'Jigoku Sensei Nube OVA', 'Doraemon Movie 23: Nobita to Robot Kingdom', 'Doraemon Movie 13: Nobita to Kumo no Oukoku', 'Yes! Precure 5']"
n-s119,Gurgaon,"['SF Saiyuuki Starzinger', 'Kimi ga Nozomu Eien', 'Sola Specials', 'JoJo no Kimyou na Bouken: Adventure', 'Nanatsu no Umi no Tico']"
n-s120,Here and There,"['Heppoko Jikken Animation Excel♥Saga', 'Hayate no Gotoku!', 'School Rumble: Ichi Gakki Hoshuu', 'Hanbun no Tsuki ga Noboru Sora', 'Azumanga Daioh']"
n-s121,Heroes of Goo Jit Zu,"['UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku', 'Shijou Saikyou no Deshi Kenichi', 'Taiho Shichau zo The Movie', 'Ushio to Tora', 'Doraemon Movie 07: Nobita to Tetsujin Heidan']"
n-s122,Hotel Del Luna,"['Lupin III: Nusumareta Lupin', 'Robot Carnival', 'Hello! Sandybell', 'Bleach Movie 1: Memories of Nobody', 'Inukami!']"
n-s123,In the Cut,"['Akazukin Chacha OVA', 'Taiho Shichau zo Special', 'Ai Yori Aoshi', 'Ultra Maniac', 'Dragon Ball Movie 4: Saikyou e no Michi']"
n-s124,Luv Kushh,"['Ginga Hyouryuu Vifam', 'D.N.Angel', 'Nagagutsu wo Haita Neko', 'Kyou no 5 no 2', 'Taiyou no Kiba Dagram']"
n-s125,Pororo - The Little Penguin,"['Future GPX Cyber Formula Zero', ""Wolf's Rain"", 'Masuda Kousuke Gekijou Gag Manga Biyori', 'Yamato Nadeshiko Shichihenge♥', 'Ojamajo Doremi Na-i-sho']"
n-s126,Q-Force,"['Little Nemo', 'Lodoss-tou Senki', 'Hime-chan no Ribbon', 'Lupin III: Part III', 'Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen']"
n-s127,Shikara,"['Shin Getter Robo tai Neo Getter Robo', 'Mai-Otome Specials', 'Nanatsu no Umi no Tico', 'Minami-ke', 'Zero no Tsukaima']"
